Date,Open,High,Low,Close,Volume,Adj Close
2008-11-21,1346.77,1384.35,1295.48,1384.35,3071280000,1384.35
2008-11-20,1373.77,1414.43,1314.90,1316.12,3147650000,1316.12
2008-11-19,1479.13,1493.05,1386.42,1386.42,2372880000,1386.42
2008-11-18,1488.93,1498.42,1429.92,1483.27,2349230000,1483.27
2008-11-17,1494.74,1526.96,1481.70,1482.05,1831540000,1482.05
2008-11-14,1560.59,1587.76,1513.09,1516.85,2243750000,1516.85
2008-11-13,1503.06,1596.70,1428.54,1596.70,3009550000,1596.70
2008-11-12,1555.17,1562.78,1499.21,1499.21,2120870000,1499.21
2008-11-11,1598.59,1612.42,1563.95,1580.90,1909080000,1580.90
2008-11-10,1680.67,1680.67,1603.33,1616.74,1674900000,1616.74
2008-11-07,1629.69,1654.25,1615.51,1647.40,1886230000,1647.40
2008-11-06,1659.57,1676.92,1603.87,1608.70,2367880000,1608.70
2008-11-05,1757.01,1764.43,1679.19,1681.64,2092410000,1681.64
2008-11-04,1761.09,1785.84,1739.81,1780.12,2306350000,1780.12
2008-11-03,1718.89,1738.53,1713.39,1726.33,1770880000,1726.33
2008-10-31,1684.71,1742.54,1673.32,1720.95,2437120000,1720.95
2008-10-30,1698.43,1712.56,1658.45,1698.52,2504420000,1698.52
2008-10-29,1643.98,1705.51,1622.01,1657.21,2748720000,1657.21
2008-10-28,1552.24,1649.47,1504.13,1649.47,2777540000,1649.47
2008-10-27,1528.12,1574.54,1503.81,1505.90,2224430000,1505.90
2008-10-24,1493.79,1584.27,1493.79,1552.03,2691940000,1552.03
2008-10-23,1621.11,1645.50,1533.55,1603.91,3104700000,1603.91
2008-10-22,1671.23,1678.71,1587.22,1615.75,2560810000,1615.75
2008-10-21,1741.84,1768.54,1695.12,1696.68,2099810000,1696.68
2008-10-20,1735.13,1770.05,1698.01,1770.03,2021750000,1770.03
2008-10-17,1678.78,1782.58,1670.28,1711.29,2711030000,1711.29
2008-10-16,1644.55,1717.72,1565.72,1717.71,3331040000,1717.71
2008-10-15,1754.62,1761.23,1628.33,1628.33,2540180000,1628.33
2008-10-14,1894.87,1896.95,1752.89,1779.01,2912850000,1779.01
2008-10-13,1734.60,1844.25,1715.74,1844.25,2665690000,1844.25
2008-10-10,1590.77,1690.77,1542.45,1649.51,4164090000,1649.51
2008-10-09,1766.25,1787.41,1634.88,1645.12,2622310000,1645.12
2008-10-08,1710.96,1806.89,1706.86,1740.33,3516070000,1740.33
2008-10-07,1867.97,1886.35,1754.88,1754.88,2825810000,1754.88
2008-10-06,1898.63,1905.01,1777.02,1862.96,3502250000,1862.96
2008-10-03,2005.92,2046.81,1947.19,1947.39,2501480000,1947.39
2008-10-02,2052.51,2056.43,1975.00,1976.72,2173750000,1976.72
2008-10-01,2075.10,2083.20,2046.06,2069.40,1899330000,2069.40
2008-09-30,2033.69,2094.31,2015.93,2091.88,2376240000,2091.88
2008-09-29,2147.16,2152.69,1983.73,1983.73,2808100000,1983.73
2008-09-26,2144.06,2187.53,2136.85,2183.34,1949200000,2183.34
2008-09-25,2172.26,2210.74,2167.06,2186.57,1846330000,2186.57
2008-09-24,2167.55,2179.93,2147.36,2155.68,1818170000,2155.68
2008-09-23,2190.71,2209.62,2151.77,2153.33,1974180000,2153.33
2008-09-22,2265.77,2266.45,2178.98,2178.98,1881160000,2178.98
